128000, 128, 14080000.0, 0, 109.0, 0.0010000000000000026
128000, 256, 25971914.0, 0, 119.0, 0.0005914080879830443
128000, 384, 38714848.0, 0, 123.0, 0.00040997190535271497
128000, 512, 51495119.0, 0, 126.0, 0.000315680404583608
128000, 640, 64285133.0, 0, 131.0, 0.0002628290432253044
128000, 768, 77079103.0, 0, 136.0, 0.0002275065396129851
128000, 896, 89875069.0, 0, 142.0, 0.0002036604834205133
128000, 1024, 102672179.0, 0, 146.0, 0.0001832628876026459
128000, 1152, 115470009.0, 0, 150.0, 0.00016738545504055985
128000, 1280, 128268318.0, 0, 150.0, 0.00015068413074542132
